Team,Schedule(YYYY-mm-dd)
W1,2022-06-06 TO 2022-06-12
W2,2022-06-13 TO 2022-06-19
W3,2022-06-20 TO 2022-06-26
W4,2022-06-27 TO 2022-07-03
W5,2022-07-04 TO 2022-07-10
W6,2022-07-11 TO 2022-07-17
W1,2022-07-18 TO 2022-07-24
W2,2022-07-25 TO 2022-07-31
W3,2022-08-01 TO 2022-08-14
W4,2022-08-08 TO 2022-08-21
W5,2022-08-15 TO 2022-08-28
W6,2022-08-22 TO 2022-09-04
W1,2022-08-29 TO 2022-09-11
W2,2022-09-05 TO 2022-09-11
W3,2022-09-12 TO 2022-09-18
W4,2022-09-19 TO 2022-09-25
W5,2022-09-26 TO 2022-10-02
W6,2022-10-03 TO 2022-10-09
W1,2022-10-10 TO 2022-10-16
W2,2022-10-17 TO 2022-10-23
W3,2022-10-24 TO 2022-10-30
W4,2022-10-31 TO 2022-11-06
W5,2022-11-07 TO 2022-11-13
W6,2022-11-14 TO 2022-11-20
W1,2022-11-21 TO 2022-11-27
W2,2022-11-28 TO 2022-12-04
W3,2022-12-05 TO 2022-12-11
W4,2022-12-12 TO 2022-12-18
W5,2022-12-19 TO 2022-12-25
W6,2022-12-26 TO 2023-01-01
W1,2023-01-02 TO 2023-01-08
W2,2023-01-09 TO 2023-01-15
W3,2023-01-16 TO 2023-01-22
W4,2023-01-23 TO 2023-01-29
W5,2023-01-30 TO 2023-02-05
W6,2023-02-06 TO 2023-02-12
W1,2023-02-13 TO 2023-02-19
W2,2023-02-20 TO 2023-02-26
W3,2023-02-27 TO 2023-03-05
W4,2023-03-06 TO 2023-03-12
W5,2023-03-13 TO 2023-03-19
W6,2023-03-20 TO 2023-03-26
W1,2023-03-27 TO 2023-04-02
W2,2023-04-03 TO 2023-04-09
W3,2023-04-10 TO 2023-04-16
W4,2023-04-17 TO 2023-04-23
W5,2023-04-24 TO 2023-04-30
W6,2023-05-01 TO 2023-05-14
W1,2023-05-08 TO 2023-05-21
W2,2023-05-15 TO 2023-05-28
W3,2023-05-22 TO 2023-06-04
W4,2023-05-29 TO 2023-06-11
W5,2023-06-05 TO 2023-06-11
W6,2023-06-12 TO 2023-06-18
W1,2023-06-19 TO 2023-06-25
W2,2023-06-26 TO 2023-07-02
W3,2023-07-03 TO 2023-07-09
W4,2023-07-10 TO 2023-07-16
W5,2023-07-17 TO 2023-07-23
W6,2023-07-24 TO 2023-07-30
W1,2023-07-31 TO 2023-08-06
W2,2023-08-07 TO 2023-08-13
W3,2023-08-14 TO 2023-08-20
W4,2023-08-21 TO 2023-08-27
W5,2023-08-28 TO 2023-09-03
